EquipoID,Nombre,Partidos Ganados,Partidos Empatados,Partidos Perdidos
GRANADA,Granada C. F.,22,9,11
PALMAS,U. D. Las Palmas,18,18,6
LEVANTE,Levante U. D.,18,18,6
ALAVES,Deportivo Alavés,14,14,9
EIBAR,S. D. Éibar,14,14,9
ALBACETE,Albacete Balompié,16,16,9
ANDORRA,F. C. Andorra,11,11,15
OVIEDO,Real Oviedo,11,11,15
CARTAGENA,F. C. Cartagena,10,10,16
TENERIFE,C. D. Tenerife,15,15,13
BURGOS,Burgos C. F.,15,15,14
SANTANDER,Real Racing Club de Santander,12,12,16
ZARAGOZA,Real Zaragoza,17,17,13
LEGANES,C. D. Leganés,11,11,17
HUESCA,S. D. Huesca,19,19,12
MIRANDES,C. D. Mirandés,13,13,16
GIJON,Sporting de Gijón,17,17,14
VILLARREALB,"Villarreal C. F. ""B""",11,11,18
PONFERRADINA,S. D. Ponferradina,17,17,16
MALAGA,Málaga C. F.,14,14,18
IBIZA,U. D. Ibiza,13,13,22
LUGO,C. D. Lugo,13,13,23
